component,layer,index,delta_loss,delta_accuracy,seed,step,probe_split
mlp_group,1,1,3.553963324520737e-05,0.0,0,1400,full_table
mlp_group,1,2,9.213742305291817e-05,0.0,0,1400,full_table
mlp_group,1,3,7.419329631375149e-05,0.0,0,1400,full_table
mlp_group,1,4,9.559098543832079e-05,0.0,0,1400,full_table
mlp_group,1,5,8.200463344110176e-05,0.0,0,1400,full_table
mlp_group,1,6,6.66888736304827e-05,0.0,0,1400,full_table
mlp_group,1,7,4.214449290884659e-05,0.0,0,1400,full_table
head,0,0,1.3921956661215518,0.32179927825927734,0,1500,full_table
head,0,1,1.4258815887442324,0.31141871213912964,0,1500,full_table
head,0,2,0.781059348868439,0.21107268333435059,0,1500,full_table
head,0,3,1.3656936529150698,0.29411762952804565,0,1500,full_table
mlp_group,0,0,3.519352321745828e-05,0.0,0,1500,full_table
mlp_group,0,1,8.415646152570844e-05,0.0,0,1500,full_table
mlp_group,0,2,0.005736887833336368,0.003460228443145752,0,1500,full_table
mlp_group,0,3,0.015009200113127008,0.003460228443145752,0,1500,full_table
mlp_group,0,4,4.40663134213537e-05,0.0,0,1500,full_table
mlp_group,0,5,0.042305221693823114,0.01038062572479248,0,1500,full_table
mlp_group,0,6,0.0003735582286026329,0.0,0,1500,full_table
mlp_group,0,7,4.496578185353428e-05,0.0,0,1500,full_table
head,1,0,0.357514107512543,0.11072665452957153,0,1500,full_table
head,1,1,0.19862506716162898,0.05536329746246338,0,1500,full_table
head,1,2,0.32995002894313075,0.1038062572479248,0,1500,full_table
head,1,3,0.480548376130173,0.12456744909286499,0,1500,full_table
mlp_group,1,0,3.2250005460809916e-05,0.0,0,1500,full_table
mlp_group,1,1,3.241616650484502e-05,0.0,0,1500,full_table
mlp_group,1,2,8.519997936673462e-05,0.0,0,1500,full_table
mlp_group,1,3,6.836641114205122e-05,0.0,0,1500,full_table
mlp_group,1,4,8.88662034412846e-05,0.0,0,1500,full_table
mlp_group,1,5,7.559811638202518e-05,0.0,0,1500,full_table
mlp_group,1,6,6.147146632429212e-05,0.0,0,1500,full_table
mlp_group,1,7,3.8713573303539306e-05,0.0,0,1500,full_table
head,0,0,1.4125451616491773,0.32179927825927734,0,1600,full_table
head,0,1,1.4383244089331129,0.31141871213912964,0,1600,full_table
head,0,2,0.7873374394621351,0.20761245489120483,0,1600,full_table
head,0,3,1.3776013426031568,0.29411762952804565,0,1600,full_table
mlp_group,0,0,3.255228511989117e-05,0.0,0,1600,full_table
mlp_group,0,1,7.89728292147629e-05,0.0,0,1600,full_table
mlp_group,0,2,0.006182313758472446,0.003460228443145752,0,1600,full_table
mlp_group,0,3,0.015675396054575685,0.003460228443145752,0,1600,full_table
mlp_group,0,4,4.1374776628799736e-05,0.0,0,1600,full_table
mlp_group,0,5,0.045003442421148065,0.01038062572479248,0,1600,full_table
mlp_group,0,6,0.0003691644305945374,0.0,0,1600,full_table
mlp_group,0,7,4.156284558121115e-05,0.0,0,1600,full_table
head,1,0,0.3632396332468488,0.11072665452957153,0,1600,full_table
head,1,1,0.20157988588471198,0.05536329746246338,0,1600,full_table
head,1,2,0.3371566406931379,0.1038062572479248,0,1600,full_table
head,1,3,0.4898994735922315,0.12456744909286499,0,1600,full_table
mlp_group,1,0,2.9637434636242688e-05,0.0,0,1600,full_table
mlp_group,1,1,2.9722774343099445e-05,0.0,0,1600,full_table
mlp_group,1,2,7.916162576293573e-05,0.0,0,1600,full_table
mlp_group,1,3,6.327483424684033e-05,0.0,0,1600,full_table
mlp_group,1,4,8.296095620607957e-05,0.0,0,1600,full_table
mlp_group,1,5,7.00066375429742e-05,0.0,0,1600,full_table
mlp_group,1,6,5.693463026545942e-05,0.0,0,1600,full_table
mlp_group,1,7,3.574034781195223e-05,0.0,0,1600,full_table
head,0,0,1.4321261772565776,0.32179927825927734,0,1700,full_table
